Date,Dirk Nowitski,Lebron James,Kyrie Irving,Kevin Durant,Stephen Curry,Damian Lillard,Kawhi Leonard,Kobe Bryant,James Harden
2001-07-01,0.5,,,,,,,0.456,
2002-07-01,0.495,,,,,,,0.385,
2003-07-01,0.476,,,,,,,0.414,
2004-07-01,0.409,0.385,,,,,,0.364,
2005-07-01,0.388,0.434,,,,,,0.34,
2006-07-01,0.426,0.509,,,,,,0.375,
2007-07-01,0.438,0.46,,,,,,0.381,
2008-07-01,0.471,0.444,,,,,,0.458,
2009-07-01,0.392,0.513,,0.376,,,,0.429,
2010-07-01,0.455,0.479,,0.362,0.42,,,0.416,0.471
2011-07-01,0.494,0.441,,0.41,0.542,,,0.368,0.286
2012-07-01,0.407,0.426,0.522,0.437,0.273,,0.533,0.364,0.381
2013-07-01,0.457,0.48,0.467,0.386,0.368,0.43,0.5,0.406,0.392
2014-07-01,0.406,0.497,0.353,0.409,0.401,0.48,0.414,0.273,0.414
2015-07-01,0.439,0.402,0.362,0.489,0.496,0.392,0.389,0.343,0.496
2016-07-01,,0.429,0.377,0.397,0.512,0.389,0.463,0.333,0.354
2017-07-01,0.4,0.478,0.407,0.444,0.509,0.398,0.417,,0.391
2018-07-01,0.267,0.517,0.462,0.535,0.5,0.46,,,0.388
2019-07-01,,0.409,0.491,0.409,0.439,,0.458,,0.429